Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 30 May 2024 at 04:39 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
341040,Colima,Stratovolcano(es),2019,Mexico,México and Central America,Mexico,19.514,-103.62,3850,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,76,746,303490,1494790
341012,Comondu-La Purisima,Volcanic field,Unknown,Mexico,México and Central America,Mexico,26,-111.92,780,Rift zone / Continental crust (>25 km),Evidence Uncertain,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,1033,1033,2365,43271
341005,Coronado,Stratovolcano,Unknown,Mexico,México and Central America,Mexico,29.08,-113.513,440,Rift zone / Continental crust (>25 km),Unrest / Holocene,No Data (checked), , , , , , , , , ,2,37,1096,17157
322160,Crater Lake,Caldera,-2850,United States,Canada and Western USA,USA (Oregon),42.942,-122.107,2487,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,52,52,366,272674
324020,Craters of the Moon,Volcanic field,-130,United States,Canada and Western USA,USA (Idaho),43.371,-113.493,2005,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,15,15,1459,93300
320110,Crow Lagoon,Pyroclastic cone,Unknown,Canada,Canada and Western USA,Canada,54.7,-130.23,335,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,0,0,456,13541
341098,"Cumbres,  Las",Stratovolcano,-3920,Mexico,México and Central America,Mexico,19.15,-97.27,3940,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,113,1923,315004,6365085
284137,Daikoku,Stratovolcano,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.324,144.194,-323,Subduction zone / Crustal thickness unknown,Unrest / Holocene,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
312050,Dana,Stratovolcano,-1890,United States,Alaska,Alaska Peninsula,55.641,-161.214,1354,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,0,1814
311040,Davidof,Stratovolcano,Unknown,United States,Alaska,Aleutian Islands,51.97,178.33,328,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,No Data (checked), , , , , , , , , ,0,0,0,0
322100,Davis Lake,Volcanic field,-2790,United States,Canada and Western USA,USA (Oregon),43.57,-121.82,2163,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , , , , , , ,1440,1440,7483,164597
312210,Denison,Stratovolcano,Unknown,United States,Alaska,Alaska Peninsula,58.418,-154.449,2287,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,0,119
322120,Devils Garden,Volcanic field,Unknown,United States,Canada and Western USA,USA (Oregon),43.512,-120.861,1698,Rift zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,51,51,287,162601
322170,Diamond Craters,Volcanic field,-5610,United States,Canada and Western USA,USA (Oregon),43.1,-118.75,1435,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,66,66,136,6969
328010,Dotsero,Maar,-2200,United States,Canada and Western USA,USA (Colorado),39.661,-107.035,2230,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,725,4821,30534,182405
312270,Douglas,Stratovolcano,Unknown,United States,Alaska,Alaska Peninsula,58.855,-153.542,2140,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,134
315050,Duncan Canal,Volcanic field,Unknown,United States,Alaska,Alaska (eastern),56.5,-133.1,15,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,0,0,60,7558
341022,Durango Volcanic Field,Volcanic field,Unknown,Mexico,México and Central America,Mexico,24.15,-104.45,2075,Subduction zone / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , ,571282,571282,571282,797133
312011,Dutton,Stratovolcano,Unknown,United States,Alaska,Alaska Peninsula,55.183,-162.276,1465,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,445,859,1090
284201,East Diamante,Stratovolcano,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.93,145.67,-127,Subduction zone / Crustal thickness unknown,Unrest / Holocene,Dacite, , , , , , , , , ,0,0,0,76403
315040,Edgecumbe,Volcanic field,-2080,United States,Alaska,Alaska (eastern),57.05,-135.75,970,Intraplate / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,0,0,6613,7074
320060,Edziza,Stratovolcano,950,Canada,Canada and Western USA,Canada,57.72,-130.63,2786,Intraplate / Continental crust (>25 km),Eruption Dated,Trachyte / Trachydacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, ,Trachyandesite / Basaltic Trachyandesite, , , , ,0,0,0,898
312020,Emmons Lake Volcanic Center,Caldera,Unknown,United States,Alaska,Alaska Peninsula,55.3519,-162.0445,1534,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite, , , , , , , ,0,0,686,1199
331010,Endeavour Segment,Fissure vent(s),-3490,Canada,Hawaii and Pacific Ocean,Pacific Ocean (northern),47.95,-129.1,-2050,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
