Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 31 May 2024 at 03:23 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
358012,"Cayutue, Volcan",Cone of Cayutue-La Viguería,,,,,,,,,,,,,,,,,,,,,,,
358012,Cayutue-La Vigueria,Volcanic field,-190,Chile,South America,Southern Chile and Argentina,-41.3,-72.27,506,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,1737,1737,5482,451311
355220,Cazadero,Synonym of Tipas,,,,,,,,,,,,,,,,,,,,,,,
353050,"Cazuel, Cerro","Pyroclastic cone of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
355101,"Cenizas, Cerro",Cone of Cordon de Puntas Negras,,,,,,,,,,,,,,,,,,,,,,,
357160,"Cenizas, Cerro",Synonym of Puntiagudo-Cordon Cenizos,,,,,,,,,,,,,,,,,,,,,,,
355094,"Cerrillo, Cerro el","Synonym of Chajnantor, Cerro",,,,,,,,,,,,,,,,,,,,,,,
354005,Cerro Keyocc,Pyroclastic cone of Huambo,,,,,,,,,,,,,,,,,,,,,,,
352022,Chacana,Caldera,1773,Ecuador,South America,Ecuador,-0.375,-78.25,4643,Subduction zone / Continental crust (>25 km),Eruption Observed,Rhyolite,Dacite,Andesite / Basaltic Andesite, , , , , , , ,81716,81716,348743,3292546
354007,"Chachani, Nevado",Stratovolcano,Unknown,Peru,South America,Peru,-16.191,-71.53,6057,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,97,1182,887176,1032411
352002,Chachimbiro,Stratovolcano,-3740,Ecuador,South America,Ecuador,0.468,-78.287,4106,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,125,5299,356162,3253458
357130,"Chaiquemahuida, Volcán",Pyroclastic cone of Mocho-Choshuenco,,,,,,,,,,,,,,,,,,,,,,,
358041,Chaiten,Caldera,2011,Chile,South America,Southern Chile and Argentina,-42.8349,-72.6514,1122,Subduction zone / Continental crust (>25 km),Eruption Observed,Rhyolite, , , , , , , , , ,8968,8968,9280,75311
355094,"Chajnantor, Cerro",Dome of Purico Complex,,,,,,,,,,,,,,,,,,,,,,,
358040,Challapiren,Synonym of Michinmahuida,,,,,,,,,,,,,,,,,,,,,,,
354004,"Challhue Mauras, Volcán",Pyroclastic cone of Andahua-Orcopampa,,,,,,,,,,,,,,,,,,,,,,,
358040,Chana,Synonym of Michinmahuida,,,,,,,,,,,,,,,,,,,,,,,
